file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@11.436,kick,corpus,11.436,11.92384,559.89499,1013.82643,-8.02834,0.72904,0.2162,0.04645,0.00827,4e-05,0.0,8.0,186.0,0.16951,0.976
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@37.79,kick,corpus,37.79,11.92583,415.44252,709.55204,-0.57374,0.74285,0.20621,0.04317,0.00774,4e-05,0.0,22.0,154.0,0.11639,0.974
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@14.512,kick,corpus,14.512,12.2711,602.06132,904.61259,-0.33824,0.77248,0.16867,0.04505,0.01377,2e-05,0.0,8.0,196.0,0.17712,0.971
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@17.798,kick,corpus,17.798,14.99036,682.82609,655.26053,3.98141,0.75543,0.17474,0.06221,0.00754,6e-05,2e-05,10.0,186.0,0.06565,0.971
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@30.093,kick,corpus,30.093,14.5326,659.74965,834.32547,-3.06505,0.73076,0.16378,0.08306,0.02234,4e-05,1e-05,22.0,152.0,0.15644,0.971
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@10.101,kick,corpus,10.101,11.73941,473.04378,612.67263,1.96859,0.76287,0.17081,0.05617,0.01011,3e-05,0.0,6.0,186.0,0.1516,0.97
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@23.963,kick,corpus,23.963,14.88211,418.67505,598.90384,0.2806,0.71684,0.1819,0.09354,0.00761,9e-05,3e-05,10.0,196.0,0.11973,0.97
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@52.233,hook,corpus,52.233,16.60329,732.42625,866.60476,2.29674,0.11189,0.03539,0.44594,0.40622,0.00039,0.00017,50.0,174.0,0.18739,0.812
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@54.532,hook,corpus,54.532,23.79578,740.29344,968.861,0.15834,0.06613,0.16776,0.51557,0.25034,0.00019,2e-05,22.0,46.0,0.06801,0.748
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@23.719,rumble,corpus,23.719,13.21757,524.85929,784.5269,0.47095,0.72706,0.19549,0.05844,0.01899,2e-05,0.0,22.0,40.0,0.99975,0.745
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@29.489,rumble,corpus,29.489,15.7499,437.33376,820.26706,0.10622,0.74268,0.12958,0.10528,0.02244,2e-05,0.0,4.0,58.0,0.99977,0.738
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@37.373,rumble,corpus,37.373,15.83996,617.08676,729.50194,1.10949,0.65708,0.21078,0.11035,0.02169,9e-05,0.0,8.0,140.0,0.99951,0.733
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@0.07,rumble,corpus,0.07,16.22817,474.60329,768.9749,-0.31322,0.57061,0.27779,0.13034,0.02124,1e-05,0.0,10.0,142.0,0.99836,0.679
corpus:008-x-d-d-cuba-connection@12.307,space,corpus,12.307,14.16307,5011.14513,4808.54932,54.74903,0.05116,0.45876,0.01423,0.00136,0.05033,0.42415,28.0,104.0,0.42595,0.952
